,pause,play,completed,id,user_id
32,"{'timestamps': ['2024-12-09T12:10:48.401231'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 9, 20, 10, 48, 401000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-12-09T12:10:48.399014'], 'timestamp': DatetimeWithNanoseconds(2024, 12, 9, 20, 10, 48, 398999, tzinfo=datetime.timezone.utc), 'count': 1}",,JvfcfY6bI6tTFWlLOPlA,54MF72xbCBSSVuwcvihrrNAmmZW2
33,,"{'timestamps': ['2024-08-15T12:44:46.129706'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 15, 11, 44, 46, 128999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-08-15T12:44:55.413719'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 15, 11, 44, 55, 413000, tzinfo=datetime.timezone.utc), 'count': 1}",SUxlzha17QdvA8EcQ01J,54MF72xbCBSSVuwcvihrrNAmmZW2
34,,"{'timestamps': ['2024-08-15T12:44:13.664744'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 15, 11, 44, 13, 664000, tzinfo=datetime.timezone.utc), 'count': 1}",,oNIDnwZOLAL8dLJBgA8I,54MF72xbCBSSVuwcvihrrNAmmZW2
35,,"{'timestamps': ['2024-11-03T17:09:49.229556'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 3, 22, 9, 49, 229000, tzinfo=datetime.timezone.utc), 'count': 1}",,3qivausPGhCnqAvjS1G9,5QiEJjxXEQQwBK7LmwLOlGaf7jg1
36,"{'timestamps': ['2025-05-03T12:51:41.519964'], 'timestamp': DatetimeWithNanoseconds(2025, 5, 3, 10, 51, 41, 519000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-05-03T12:51:41.460382', '2025-05-03T12:51:43.048769'], 'timestamp': DatetimeWithNanoseconds(2025, 5, 3, 10, 51, 43, 48000, tzinfo=datetime.timezone.utc), 'count': 2}","{'timestamps': ['2024-11-07T22:05:30.905598'], 'timestamp': DatetimeWithNanoseconds(2024, 11, 7, 21, 5, 30, 905000, tzinfo=datetime.timezone.utc), 'count': 1}",7Ri4nkhmV0jEHynvESaG,5WBqHPtXkxa5BE64cX4iPKGyFBG2
37,"{'timestamps': ['2025-06-15T11:47:04.413650'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 14, 47, 4, 413000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-15T11:46:43.160778'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 14, 46, 43, 160000, tzinfo=datetime.timezone.utc), 'count': 1}",,L6T5IKeREBtDt6JR0Adk,5eIhzg83lnUwiuWKmwpiPcwVYCf1
38,"{'timestamps': ['2025-06-15T11:47:56.041228'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 14, 47, 56, 41000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-15T11:47:55.484763'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 14, 47, 55, 484000, tzinfo=datetime.timezone.utc), 'count': 1}",,yfhGZdxb7b8gELwcK2LR,5eIhzg83lnUwiuWKmwpiPcwVYCf1
39,"{'timestamps': ['2025-06-29T17:18:31.017307'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 29, 16, 18, 31, 16999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-29T17:10:16.294112'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 29, 16, 10, 16, 293999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-29T17:18:30.935575'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 29, 16, 18, 30, 934999, tzinfo=datetime.timezone.utc), 'count': 1}",XmPSPX9MV7TEOrh8HwdU,5of1sMKQ8ab2BVT6aiAcd5nNSmE3
40,"{'timestamps': ['2025-06-03T15:53:49.556423'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 3, 13, 53, 49, 556000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-03T15:53:34.222224'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 3, 13, 53, 34, 222000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-03T15:53:49.285875'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 3, 13, 53, 49, 285000, tzinfo=datetime.timezone.utc), 'count': 1}",gAuI9JlL871SGfJTZXFy,5xnQFtzTy9U7B2u8dqwS8Hv0YjJ3
41,"{'timestamps': ['2025-06-09T19:47:04.300435', '2025-06-09T19:47:05.982432', '2025-06-09T19:47:12.533284', '2025-06-09T19:47:18.718877', '2025-06-09T19:47:20.874111', '2025-06-09T19:47:29.780980', '2025-06-09T19:47:32.959436', '2025-06-09T19:53:43.493323'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 9, 17, 53, 43, 493000, tzinfo=datetime.timezone.utc), 'count': 8}","{'timestamps': ['2025-06-09T19:46:34.005709', '2025-06-09T19:47:05.791053', '2025-06-09T19:47:07.759860', '2025-06-09T19:47:14.029036', '2025-06-09T19:47:19.409527', '2025-06-09T19:47:22.159950', '2025-06-09T19:47:31.084150', '2025-06-09T19:53:14.886885'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 9, 17, 53, 14, 886000, tzinfo=datetime.timezone.utc), 'count': 8}",,pHJAX60jVokDWCFuIuZi,5xnQFtzTy9U7B2u8dqwS8Hv0YjJ3
